Year,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Biogas,1320,1300,1280,1260,1240,1210,1180,1150,1130,1100,1136.25306,1172.506121,1208.759181,1245.012241,1281.265302,1317.518362,1353.771422,1390.024483,1426.277543,1462.530603,1498.783664,1535.036724,1571.289784,1607.542845,1643.795905,1680.048965,1716.302026,1752.555086,1788.808146,1825.061206,1861.314267,1897.567327,1933.820387,1970.073448,2006.326508,2042.579568,2078.832629,2115.085689,2151.338749,2187.59181,2187.59181,2187.59181,2187.59181,2187.59181,2187.59181,2187.59181,2187.59181,2187.59181,2187.59181,2187.59181
WindOffshore,1980,2650,3470,4450,5500,6810,8310,9800,11300,12990,13607.24237,14224.48475,14841.72712,15458.9695,16076.21187,16693.45425,17310.69662,17927.939,18545.18137,19162.42375,19779.66612,20396.90849,21014.15087,21631.39324,22248.63562,22865.87799,23483.12037,24100.36274,24717.60512,25334.84749,25952.08986,26569.33224,27186.57461,27803.81699,28421.05936,29038.30174,29655.54411,30272.78649,30890.02886,31507.27124,31507.27124,31507.27124,31507.27124,31507.27124,31507.27124,31507.27124,31507.27124,31507.27124,31507.27124,31507.27124
WindOnshore,5270,5970,6720,7540,8710,9980,11350,12770,13840,14890,15533.7324,16177.4648,16821.19721,17464.92961,18108.66201,18752.39441,19396.12682,20039.85922,20683.59162,21327.32402,21971.05642,22614.78883,23258.52123,23902.25363,24545.98603,25189.71843,25833.45084,26477.18324,27120.91564,27764.64804,28408.38045,29052.11285,29695.84525,30339.57765,30983.31005,31627.04246,32270.77486,32914.50726,33558.23966,34201.97206,34201.97206,34201.97206,34201.97206,34201.97206,34201.97206,34201.97206,34201.97206,34201.97206,34201.97206,34201.97206
Photovoltaic,140,280,490,730,1070,1400,1720,2040,2360,2680,3546.998377,4413.996753,5280.99513,6147.993507,7014.991883,7881.99026,8748.988637,9615.987013,10482.98539,11349.98377,12216.98214,13083.98052,13950.9789,14817.97727,15684.97565,16551.97403,17418.9724,18285.97078,19152.96916,20019.96753,20886.96591,21753.96429,22620.96266,23487.96104,24354.95942,25221.95779,26088.95617,26955.95455,27822.95292,28689.9513,28689.9513,28689.9513,28689.9513,28689.9513,28689.9513,28689.9513,28689.9513,28689.9513,28689.9513,28689.9513
BiomassSolid,590,730,880,1030,1290,1580,1910,2260,2660,3140,3243.486009,3346.972017,3450.458026,3553.944034,3657.430043,3760.916051,3864.40206,3967.888069,4071.374077,4174.860086,4278.346094,4381.832103,4485.318111,4588.80412,4692.290128,4795.776137,4899.262146,5002.748154,5106.234163,5209.720171,5313.20618,5416.692188,5520.178197,5623.664206,5727.150214,5830.636223,5934.122231,6037.60824,6141.094248,6244.580257,6244.580257,6244.580257,6244.580257,6244.580257,6244.580257,6244.580257,6244.580257,6244.580257,6244.580257,6244.580257
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal PSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lignite PSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel oil PGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear PGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroelectric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onshore wind PGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offshore wind PGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
